07.03.2022 13:22:55,MOST,True,Super Model,comedy,"Omri, stage, Tel-Aviv, medal","Omri. a young girl from Tel-Aviv, gets a job as a model on a stage in a New York City fashion show. She falls in love with a man she meets on the street, but he isn't sure if she's ready for a big break or if he's going to be a star on the show. However, when she discovers that she is a supermodel, she enlists the help of a friend of hers to help her win a medal.",2,2,2,2,not good
07.03.2022 13:24:06,MOST,True,Super Model,science fiction,"Omri, stage, Tel-Aviv, medal","Omri. the supermodel of the film, is sent to Tel-Aviv to perform on stage. There he encounters a group of terrorists led by the leader of the terrorist group known as the 'Omri'. The terrorists are able to kill the terrorists, but are unable to find a way to stop them. In the end, he is awarded the Super Model of the Year award and receives the medal for his bravery.",1,1,1,1,bad
07.03.2022 16:06:38,Atar,True,The Atudai that wasn't,"action, comedy","Alicia, basement, kidnapped, chef, cook",The plot revolves around Alicia. a young woman who is kidnapped by a ruthless gangster in the basement of a New York City restaurant. Alicia's father is a chef and cook.,5,4,4,5,
07.03.2022 16:10:51,Atar,True,"The good, the bad and the Rakefet",western,"Rakefet, Kineret, duel, wild west","The film tells the story of the Rakefet. a gang of outlaws who are attempting to take over the town of Kineret in order to gain control of the town. The gang's leader, a young man, is killed in a duel between the two gangs. In the end, the gang wins the duel and the town is left with nothing to live for in the wild west. ",5,4,4,5,
07.03.2022 16:14:12,Atar,True,90 and up,comedy,"Shlomi Laufer, university, useless, dumb","Shlomi Laufer is a high school senior who is on her way to becoming a professional dancer. When she gets a job as a dancer at a local dance hall, she decides to go to university. She decides that the dance hall is not for her, and that she is useless and dumb.",5,3,3,5,
07.03.2022 16:17:59,Atar,True,Yeezus,romance,"Kanye West, Pete Davidson, married, song, bed","The film opens with Kanye West and Pete Davidson. a couple who have been married for a long time. The film then cuts to a scene in which Pete sings Yeezus, a song about a love triangle between a woman and a man. The movie then cuts back to the scene where Pete and Pete were married, and the couple reunites in bed.",5,5,5,5,
07.03.2022 16:21:46,Atar,True,purim 2: electric boogaloo,drama,"Matan tarif, his sister, clown, purim, what do you want","Purim 2 is a sequel to the original Purim. Matan Tart is back in the United States with his new brother and sister. He is reunited with his older brother's sister, who is now a clown. Purim is about to be resurrected, and he must decide what he wants to do with Purim and what do you want?",4,4,4,4,
07.03.2022 16:22:54,Atar,True,purim 2: electric boogaloo,"action, drama","Matan tarif, his sister, clown, purim, what do you want","Matan Tarif. a young Jewish man, is kidnapped by a gang of gangsters who are trying to extort money from Matan's sister. When he learns that his sister is a clown, he decides to use the money to buy a new Purim costume. But when he discovers that the costume is actually a replica of Purim's original costume, it's up to Matan and his friends to figure out what Purim really is. What do you want?",5,5,5,5,
07.03.2022 16:26:14,Atar,True,Atudai or not to be,"action, fantasy","Omri, Atuda, sign, contract, fool, 6 years","Omri. Atudai. a young boy from a poor family, is kidnapped by a gang of smugglers who are trying to rob a bank. The gangsters kidnap the bank robber and sign him up for a contract. However, he is not allowed to be a part of the gang. He is forced to become a fool for 6 years.",5,4,4,5,
07.03.2022 16:26:55,Atar,True,Atudai or not to be,"fantasy, science fiction","Omri, Atuda, sign, contract, fool, 6 years","Omri. Atuda. a young boy from a small town in Japan, is sent to a remote island in the Pacific to sign a contract with the U.S. government. There he learns that he has to be a fool, and he is given the choice of staying in the island for 6 years.",4,2,3,4,
07.03.2022 16:27:30,Atar,True,Atudai or not to be,"fantasy, science fiction","Omri, Atuda, sign, contract, fool, 6 years","Omri. Atuda. a young boy from a small town in Japan, is sent to a remote island in the Pacific to sign a contract with the U.S. government. There he learns that he has to be a fool, and he is given the choice of staying in the island for 6 years.",4,3,3,4,
07.03.2022 16:28:56,Atar,True,Atudai or not to be,"action, war","Omri, Atuda, sign, contract, fool, 6 years","Omri. Atudai. a young Japanese soldier, is sent to a Japanese prisoner-of-war camp, where he learns that he has to sign a contract with the Japanese government to be a member of the Japanese army. Upon arrival, he discovers that the camp has been occupied by the Japanese, and that the Japanese are planning to use the camp as a staging area for the Japanese invasion of Iraq. When he arrives at the camp, the Japanese mistake him for a civilian, and he is killed. The Japanese mistakenly believe he was a fool for 6 years. ",3,3,3,3,
07.03.2022 16:29:51,Atar,True,Atudai or not to be,action,"Omri, Atuda, sign, contract, fool, 6 years","Omri. Atudai. a Japanese martial arts prodigy, is sent to Japan to sign a contract with the U.S. Army. However, he is mistaken for a sailor who has been kidnapped by the Japanese and forced to go on a mission to save the world from the Japanese. When he learns that the Japanese are trying to sabotage the Japanese army's military base in the Middle East, the Japanese mistake him for the SS chief. At the end of the film, the two Japanese soldiers are forced to take part in a battle of wits and fool each other for 6 years.",3,2,2,3,
07.03.2022 16:30:58,Atar,True,Atudai or not to be,drama,"Omri, Atuda, sign, contract, fool, 6 years","Omri. a sailor, is in love with Atuda. the daughter of a wealthy businessman. When he learns of the affair, he decides to sign a contract with an insurance company. However, the insurance company refuses to give him the contract, and he is forced to become a fool. He is sentenced to 6 years in a prisoner-of-war camp.",3,3,3,3,
07.03.2022 16:31:24,Atar,True,Atudai or not to be,drama,"Omri, Atuda, sign, contract, 6 years, dumb","Omri. a middle-aged woman, is in love with Atuda. the daughter of a wealthy businessman. She decides to sign a contract with an insurance company. However, the insurance company refuses to give her contract because she believes it to be a ruse. The contract is revoked after 6 years of being dumb.",2,2,2,2,
