07.03.2022 13:06:49,hello,"action, comedy","hi, what",The film tells the story of a group of gangsters who decide to go on a scavenger hunt in order to find a way to say hello to each other. What they do not know is that they're on the run from the police and the cops who are trying to figure out what's going on. 
07.03.2022 13:07:19,hello,"action, comedy","hi, what",The film tells the story of a group of gangsters who decide to go on a scavenger hunt in order to find a way to say hello to each other. What they do not know is that they're on the run from the police and the cops who are trying to figure out what's going on. 
07.03.2022 13:21:45,Super Model,comedy,"Omri, stage, Tel-Aviv, medal","Omri. a young girl from Tel-Aviv, gets a job as a model on a stage in a New York City fashion show. She falls in love with a man she meets on the street, but he isn't sure if she's ready for a big break or if he's going to be a star on the show. However, when she discovers that she is a supermodel, she enlists the help of a friend of hers to help her win a medal."
07.03.2022 13:23:24,Super Model,science fiction,"Omri, stage, Tel-Aviv, medal","Omri. the supermodel of the film, is sent to Tel-Aviv to perform on stage. There he encounters a group of terrorists led by the leader of the terrorist group known as the 'Omri'. The terrorists are able to kill the terrorists, but are unable to find a way to stop them. In the end, he is awarded the Super Model of the Year award and receives the medal for his bravery."
07.03.2022 13:24:55,love or hate,"drama, romance","love, or, hate",The film tells the story of a man who falls in love with a young woman. He decides to either love her or hate her.
07.03.2022 13:30:28,love or hate,"drama, romance","love, or, hate",The film tells the story of a man who falls in love with a young woman. He decides to either love her or hate her.
07.03.2022 13:31:08,love or hate,"drama, romance","Jerusalem, gold, nutrition","The film is set in Jerusalem in the early 20th century. It is a story of love and hate, love or hate. It tells the story of a young Jewish man who finds himself falling in love with a woman he believes to be a thief, and his quest for gold. The story focuses on the relationship between the two men, their love for each other, and their hunger for food and nutrition. "
07.03.2022 13:34:43,GOD MIRACLE,drama,"magic, white, fabric, glass, bed","The film tells the story of a young man who discovers he has inherited a piece of white fabric from his father's estate, and uses it as a means of magic. The story is told through the eyes of the young man's mother, who tells him that the fabric is God's fabric. The film ends with a scene in which the man and his mother are seen kissing each other in the bed."
07.03.2022 14:08:15,Mystery mayhem ,"action, comedy, thriller","Fun, Intriguing ",The plot revolves around a group of friends who set out to find a way to make some fun of each other. The group ends up in a small town where the locals are having a lot of fun. It's not long before the townsfolk begin to suspect something is intriguing them.
07.03.2022 14:59:07,Breakup is really not good but it will be good ,"drama, romance","Love, Hate, Pilot ","The film tells the story of a man who falls in love with a young woman. He has a crush on a girl he doesn't love but he does love her too much. He also has an affair with the woman he's been seeing, a woman who he thinks is a victim of Hate. The film is based on the true story of the Pilot."
07.03.2022 16:05:08,The Atudai that wasn't,"action, comedy","Alicia, basement, kidnapped, chef, cook",The plot revolves around Alicia. a young woman who is kidnapped by a ruthless gangster in the basement of a New York City restaurant. Alicia's father is a chef and cook.
07.03.2022 16:10:16,"The good, the bad and the Rakefet",western,"Rakefet, Kineret, duel, wild west","The film tells the story of the Rakefet. a gang of outlaws who are attempting to take over the town of Kineret in order to gain control of the town. The gang's leader, a young man, is killed in a duel between the two gangs. In the end, the gang wins the duel and the town is left with nothing to live for in the wild west. "
07.03.2022 16:13:35,90 and up,comedy,"Shlomi Laufer, university, useless, dumb","Shlomi Laufer is a high school senior who is on her way to becoming a professional dancer. When she gets a job as a dancer at a local dance hall, she decides to go to university. She decides that the dance hall is not for her, and that she is useless and dumb."
07.03.2022 16:16:54,Yeezus,romance,"Kanye West, Pete Davidson, married, song, bed","The film opens with Kanye West and Pete Davidson. a couple who have been married for a long time. The film then cuts to a scene in which Pete sings Yeezus, a song about a love triangle between a woman and a man. The movie then cuts back to the scene where Pete and Pete were married, and the couple reunites in bed."
07.03.2022 16:20:47,purim 2: electric boogaloo,drama,"Matan tarif, his sister, clown, purim, what do you want","Purim 2 is a sequel to the original Purim. Matan Tart is back in the United States with his new brother and sister. He is reunited with his older brother's sister, who is now a clown. Purim is about to be resurrected, and he must decide what he wants to do with Purim and what do you want?"
